,x,y,title,fontsize,fontweight
0,5.6062694,7.490148,On probability theory,5.1,bold
1,5.6177793,3.731517,The Nature of Research Environments,5.7,bold
2,5.3271937,6.771035,Modalities In Scientific Representation,5.7,bold
3,5.7888064,9.482959,A Categoricity Problem For Quantum Inferentialism,4.2,normal
4,5.6896925,9.656334,Perspectivist Account of Truth-Theoretic Semantics In Quantum Mechanics,4.2,normal
5,7.9324207,5.224341,How To Justify A Decision? The Difference Between Epistemic and Non-Epistemic Justification In Algorithmic Decision-Making,4.2,normal
6,8.489782,5.3930864,Making A Murderer – How Risk Assessment Tools May Produce Rather Than Predict Criminal Behavior,4.2,normal
7,3.8466322,2.2984748,The Epistemic Importance of Standardised Quality Assessment As A Technology of Transparency,4.2,normal
8,3.7978475,4.3874745,What Is The Role of Randomization In Causal Inference? Revisiting The Old But Wrong Criticism,4.2,normal
9,6.058342,7.102105,The Formal Structure(s) of Analogical Inference,4.2,normal
10,5.972144,7.8569646,Thought Experiments and Modal Logic,4.2,normal
11,4.808321,5.6406126,Two Species of Realism,4.2,normal
12,5.032356,5.5034924,Theory Change Is Irrelevant To Scientific Realism: The Case of The Future Philosopher,4.2,normal
13,3.6146767,9.233788,Inertial Spacetime Functionalism and Its Roots,4.2,normal
14,3.3318067,9.721278,From Local To Global Hyperbolicity,4.2,normal
15,7.5214405,6.020318,What Explanation Does A Machine Learning Model Prediction Need?,4.2,normal
16,8.005075,5.3349237,Pragmatics For Explainable Ai,4.2,normal
17,4.0928445,3.6229537,The Binocular Model: Towards Plural Medicine,4.2,normal
18,3.5366528,2.3118496,Actionability In Type 2 Diabetes: Between Diagnostic and Discovery,4.2,normal
19,4.2203193,7.9457603,Probability and Analogies In Maxwell's Dynamical Theory of Gases,4.2,normal
20,5.7092066,5.920472,Analogies Between Artifacts and Biological Phenomena Frame Measuring and Modeling Via Epistemic Circularity: The Case of The “Brain’s Compass”,4.2,normal
21,5.1789193,4.9059896,"Middle Path Realism, Instrumentalism, and Future-Proof Science",4.2,normal
22,4.8930273,4.8034325,Reality-Drag: Scientific Realism As A Set of Practices That Achieve Realness,4.2,normal
23,5.0346684,2.3202534,Peer Review Errors and The Gender Productivity Gap,4.2,normal
24,4.768891,2.411235,The Tasks and Practices of Peer Review,4.2,normal
25,5.4627876,2.4556673,What Is Credit In Science? A Value-Based Interpretation of The Credit Maximisation Approach To The Social Philosophy of Science,4.2,normal
26,2.575508,5.9795375,A Pragmatist View of The Debate On Inheritance,4.2,normal
27,3.1945682,5.3056483,Species Is A Unit of Measurement,4.2,normal
28,3.1630516,5.946497,Populations In Mechanisms,4.2,normal
29,5.2380524,9.110526,"Theories, Models and (non) Theoretical Models: The Example of Perturbative Quantum Field Theory",4.2,normal
30,4.934232,8.550457,Effective Realism Made Effective,4.2,normal
31,5.254707,8.545096,Epistemic Virtues and The Pursuit of Ugly Models,4.2,normal
32,6.211376,8.146667,To Be Done With All This Measuring of Truth,4.2,normal
33,6.0860457,8.063024,Instrumental Devices,4.2,normal
34,5.689736,4.1531434,The Pre-Pandemic Empirical Grounding of Infectious Disease Models,4.2,normal
35,3.60134,4.16365,The Pathogenic Niche: An Empowering Concept of Environment For Health Studies,4.2,normal
36,4.403218,3.8287926,Making X-Ray Images Intelligible For Understanding Pulmonary Tuberculosis: A Community Achievement,4.2,normal
37,6.498109,5.891791,Inferring To The Best Explanation In Cognitive Neuroscience,4.2,normal
38,6.907076,6.1536283,Integrated Explanatory Models In Cognitive Neuroscience,4.2,normal
